#UC Berkeley, ABC 1.01 (compiled Jan 25 2024 13:39:36)
#abc 01> read_bench "./lazy_cleaned_keyed2/lf1599.bench"
#abc 02> bfs
#BFS Adjacency Tags Updating...
#Adjacency tags successfully updated. Run "list" command to list network.
#abc 02> scan
#
#Launching Leakage Analysis...
#
#Set Number of Keys considered to: 7
#
#Network List:
Node po00:	Gate = INV,	Visited = true,		Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 3	KIF = 1 	Adj. Tag = 26
Node n1442:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 124	KIF = 41 	Adj. Tag = 3669
Node n1443:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 126	KIF = 42 	Adj. Tag = 3732
Node n1444:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 128	KIF = 42 	Adj. Tag = 3786
Node n1445:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 130	KIF = 43 	Adj. Tag = 3830
Node n1446:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 133	KIF = 58 	Adj. Tag = 3880
Node n1447:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 135	KIF = 58 	Adj. Tag = 3910
Node n1448:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 137	KIF = 58 	Adj. Tag = 3938
Node n1449:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 139	KIF = 58 	Adj. Tag = 3962
Node n1450:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 26 	Adj. Tag = 349
Node n1451:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 95	KIF = 27 	Adj. Tag = 683
Node n1452:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 59	KIF = 15 	Adj. Tag = 170
Node n1453:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 93	KIF = 26 	Adj. Tag = 350
Node n1454:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 26 	Adj. Tag = 350
Node n1455:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 95	KIF = 26 	Adj. Tag = 683
Node n1456:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 97	KIF = 27 	Adj. Tag = 1097
Node n1457:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 27 	Adj. Tag = 1316
Node n1458:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 99	KIF = 27 	Adj. Tag = 1513
Node n1459:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 100	KIF = 27 	Adj. Tag = 1706
Node n1460:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 26 	Adj. Tag = 500
Node n1461:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 95	KIF = 26 	Adj. Tag = 684
Node n1462:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 101	KIF = 27 	Adj. Tag = 1862
Node n1463:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 102	KIF = 28 	Adj. Tag = 2017
Node n1464:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 103	KIF = 28 	Adj. Tag = 2155
Node n1465:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 104	KIF = 28 	Adj. Tag = 2290
Node n1466:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 106	KIF = 28 	Adj. Tag = 2525
Node n1467:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 27 	Adj. Tag = 500
Node n1468:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 27 	Adj. Tag = 903
Node n1469:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 26 	Adj. Tag = 501
Node n1470:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 95	KIF = 26 	Adj. Tag = 684
Node n1471:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 27 	Adj. Tag = 1316
Node n1472:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 99	KIF = 27 	Adj. Tag = 1514
Node n1473:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 100	KIF = 27 	Adj. Tag = 1707
Node n1474:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 101	KIF = 27 	Adj. Tag = 1862
Node n1475:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 26 	Adj. Tag = 501
Node n1476:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 26 	Adj. Tag = 903
Node n1477:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 102	KIF = 28 	Adj. Tag = 2017
Node n1478:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 104	KIF = 28 	Adj. Tag = 2291
Node n1479:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 106	KIF = 28 	Adj. Tag = 2526
Node n1480:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 108	KIF = 28 	Adj. Tag = 2727
Node n1481:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 110	KIF = 31 	Adj. Tag = 2901
Node n1482:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 112	KIF = 31 	Adj. Tag = 3055
Node n1483:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 114	KIF = 31 	Adj. Tag = 3193
Node n1484:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 116	KIF = 31 	Adj. Tag = 3319
Node n1485:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 26 	Adj. Tag = 351
Node n1486:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 26 	Adj. Tag = 502
Node n1487:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 95	KIF = 26 	Adj. Tag = 685
Node n1488:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 4	KIF = 0 	Adj. Tag = 72
Node n1489:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 5,	Level = 93	KIF = 27 	Adj. Tag = 351
Node n1490:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 95	KIF = 28 	Adj. Tag = 685
Node n1491:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 97	KIF = 28 	Adj. Tag = 1098
Node n1492:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 28 	Adj. Tag = 1317
Node n1493:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 99	KIF = 28 	Adj. Tag = 1514
Node n1494:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 26 	Adj. Tag = 502
Node n1495:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 27 	Adj. Tag = 904
Node n1496:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 28 	Adj. Tag = 1317
Node n1497:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 100	KIF = 30 	Adj. Tag = 1707
Node n1498:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 101	KIF = 30 	Adj. Tag = 1863
Node n1499:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 102	KIF = 31 	Adj. Tag = 2018
Node n1500:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 103	KIF = 31 	Adj. Tag = 2155
Node n1501:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 104	KIF = 31 	Adj. Tag = 2291
Node n1502:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 105	KIF = 31 	Adj. Tag = 2410
Node n1503:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 106	KIF = 31 	Adj. Tag = 2526
Node n1504:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 108	KIF = 32 	Adj. Tag = 2728
Node n1505:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 4	KIF = 0 	Adj. Tag = 72
Node n1506:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 93	KIF = 27 	Adj. Tag = 352
Node n1507:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 26 	Adj. Tag = 352
Node n1508:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 95	KIF = 27 	Adj. Tag = 686
Node n1509:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 97	KIF = 29 	Adj. Tag = 1098
Node n1510:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 98	KIF = 29 	Adj. Tag = 1318
Node n1511:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 99	KIF = 29 	Adj. Tag = 1515
Node n1512:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 100	KIF = 29 	Adj. Tag = 1708
Node n1513:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 27 	Adj. Tag = 353
Node n1514:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 94	KIF = 27 	Adj. Tag = 503
Node n1515:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 101	KIF = 30 	Adj. Tag = 1863
Node n1516:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 102	KIF = 30 	Adj. Tag = 2018
Node n1517:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 103	KIF = 30 	Adj. Tag = 2156
Node n1518:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 105	KIF = 30 	Adj. Tag = 2411
Node n1519:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 110	KIF = 37 	Adj. Tag = 2901
Node n1520:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 112	KIF = 37 	Adj. Tag = 3056
Node n1521:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 114	KIF = 37 	Adj. Tag = 3194
Node n1522:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 116	KIF = 38 	Adj. Tag = 3319
Node n1523:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 118	KIF = 43 	Adj. Tag = 3427
Node n1524:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 120	KIF = 43 	Adj. Tag = 3520
Node n1525:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 122	KIF = 43 	Adj. Tag = 3600
Node n1526:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 124	KIF = 43 	Adj. Tag = 3670
Node n1527:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 4	KIF = 1 	Adj. Tag = 73
Node n1528:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 2,	Level = 5	KIF = 1 	Adj. Tag = 88
Node n1529:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 95	KIF = 27 	Adj. Tag = 686
Node n1530:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 27 	Adj. Tag = 904
Node n1531:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 97	KIF = 27 	Adj. Tag = 1099
Node n1532:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 27 	Adj. Tag = 1318
Node n1533:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 99	KIF = 27 	Adj. Tag = 1515
Node n1534:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 3,	Level = 2	KIF = 1 	Adj. Tag = 21
Node n1535:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 3	KIF = 1 	Adj. Tag = 28
Node n1536:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 4	KIF = 2 	Adj. Tag = 73
Node n1537:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 3,	Level = 5	KIF = 2 	Adj. Tag = 88
Node n1538:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 6	KIF = 2 	Adj. Tag = 93
Node n1539:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 7	KIF = 2 	Adj. Tag = 97
Node n1540:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 80	KIF = 23 	Adj. Tag = 209
Node n1541:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 81	KIF = 23 	Adj. Tag = 212
Node n1542:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 4	KIF = 2 	Adj. Tag = 74
Node n1543:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 93	KIF = 27 	Adj. Tag = 353
Node n1544:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 27 	Adj. Tag = 354
Node n1545:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 95	KIF = 28 	Adj. Tag = 687
Node n1546:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 28 	Adj. Tag = 905
Node n1547:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 97	KIF = 28 	Adj. Tag = 1099
Node n1548:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 100	KIF = 29 	Adj. Tag = 1708
Node n1549:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 102	KIF = 29 	Adj. Tag = 2019
Node n1550:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 104	KIF = 29 	Adj. Tag = 2292
Node n1551:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 106	KIF = 29 	Adj. Tag = 2527
Node n1552:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 4	KIF = 2 	Adj. Tag = 74
Node n1553:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 93	KIF = 27 	Adj. Tag = 354
Node n1554:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 97	KIF = 29 	Adj. Tag = 1100
Node n1555:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 30 	Adj. Tag = 1319
Node n1556:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 99	KIF = 30 	Adj. Tag = 1516
Node n1557:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 100	KIF = 30 	Adj. Tag = 1709
Node n1558:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 27 	Adj. Tag = 355
Node n1559:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 27 	Adj. Tag = 503
Node n1560:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 95	KIF = 27 	Adj. Tag = 687
Node n1561:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 101	KIF = 31 	Adj. Tag = 1864
Node n1562:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 102	KIF = 31 	Adj. Tag = 2019
Node n1563:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 103	KIF = 31 	Adj. Tag = 2156
Node n1564:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 105	KIF = 31 	Adj. Tag = 2411
Node n1565:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 108	KIF = 33 	Adj. Tag = 2728
Node n1566:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 110	KIF = 34 	Adj. Tag = 2902
Node n1567:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 112	KIF = 34 	Adj. Tag = 3056
Node n1568:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 114	KIF = 34 	Adj. Tag = 3194
Node n1569:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 91	KIF = 26 	Adj. Tag = 250
Node n1570:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 92	KIF = 26 	Adj. Tag = 262
Node n1571:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 26 	Adj. Tag = 355
Node n1572:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 94	KIF = 26 	Adj. Tag = 504
Node n1573:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 95	KIF = 27 	Adj. Tag = 688
Node n1574:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 27 	Adj. Tag = 905
Node n1575:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 97	KIF = 27 	Adj. Tag = 1100
Node n1576:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 98	KIF = 27 	Adj. Tag = 1319
Node n1577:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 2	KIF = 1 	Adj. Tag = 22
Node n1578:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 2,	Level = 93	KIF = 27 	Adj. Tag = 356
Node n1579:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 27 	Adj. Tag = 504
Node n1580:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 95	KIF = 27 	Adj. Tag = 688
Node n1581:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 27 	Adj. Tag = 906
Node n1582:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 99	KIF = 28 	Adj. Tag = 1516
Node n1583:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 100	KIF = 28 	Adj. Tag = 1709
Node n1584:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 101	KIF = 28 	Adj. Tag = 1864
Node n1585:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 103	KIF = 28 	Adj. Tag = 2157
Node n1586:	Gate = AND,	Visited = true,		Leaks = true,	Fanin = 2,	Fanout = 1,	Level = 4	KIF = 2 	Adj. Tag = 75
Node n1587:	Gate = INV,	Visited = true,		Leaks = true,	Fanin = 1,	Fanout = 1,	Level = 8	KIF = 4 	Adj. Tag = 101
Node n1588:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 96	KIF = 26 	Adj. Tag = 906
Node n1589:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 98	KIF = 26 	Adj. Tag = 1320
Node n1590:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 105	KIF = 29 	Adj. Tag = 2412
Node n1591:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 107	KIF = 29 	Adj. Tag = 2629
Node n1592:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 109	KIF = 30 	Adj. Tag = 2813
Node n1593:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 111	KIF = 31 	Adj. Tag = 2978
Node n1594:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 2,	Level = 47	KIF = 8 	Adj. Tag = 147
Node n1595:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 49	KIF = 9 	Adj. Tag = 149
Node n1596:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 113	KIF = 32 	Adj. Tag = 3123
Node n1597:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 116	KIF = 41 	Adj. Tag = 3320
Node n1598:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 118	KIF = 42 	Adj. Tag = 3427
Node n1599:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 120	KIF = 43 	Adj. Tag = 3520
Node n1600:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 122	KIF = 44 	Adj. Tag = 3600
Node n1601:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 93	KIF = 26 	Adj. Tag = 356
Node n1602:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 94	KIF = 26 	Adj. Tag = 505
Node n1603:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 26 	Adj. Tag = 1320
Node n1604:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 99	KIF = 26 	Adj. Tag = 1517
Node n1605:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 100	KIF = 26 	Adj. Tag = 1710
Node n1606:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 102	KIF = 26 	Adj. Tag = 2020
Node n1607:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 98	KIF = 28 	Adj. Tag = 1321
Node n1608:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 99	KIF = 28 	Adj. Tag = 1517
Node n1609:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 101	KIF = 29 	Adj. Tag = 1865
Node n1610:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 104	KIF = 29 	Adj. Tag = 2292
Node n1611:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 106	KIF = 29 	Adj. Tag = 2527
Node n1612:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 108	KIF = 29 	Adj. Tag = 2729
Node n1613:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 110	KIF = 29 	Adj. Tag = 2902
Node n1614:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 2,	Level = 93	KIF = 27 	Adj. Tag = 357
Node n1615:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 94	KIF = 27 	Adj. Tag = 505
Node n1616:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 96	KIF = 27 	Adj. Tag = 907
Node n1617:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 112	KIF = 30 	Adj. Tag = 3057
Node n1618:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 114	KIF = 30 	Adj. Tag = 3195
Node n1619:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 116	KIF = 30 	Adj. Tag = 3320
Node n1620:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 118	KIF = 30 	Adj. Tag = 3428
Node n1621:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 124	KIF = 49 	Adj. Tag = 3670
Node n1622:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 126	KIF = 64 	Adj. Tag = 3733
Node n1623:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 128	KIF = 65 	Adj. Tag = 3786
Node n1624:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 130	KIF = 66 	Adj. Tag = 3831
Node n1625:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 132	KIF = 66 	Adj. Tag = 3866
Node n1626:	Gate = AND,	Visited = false,	Leaks = false,	Fanin = 2,	Fanout = 1,	Level = 99	KIF = 28 	Adj. Tag = 1518
Node n1627:	Gate = INV,	Visited = false,	Leaks = false,	Fanin = 1,	Fanout = 1,	Level = 100	KIF = 28 	Adj. Tag = 1710
